"금연구역명",금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
"서브웨이울산일산점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1119, 지하1층 (서부동)","울산광역시 동구 방어진순환도로 1119, 지하1층 (서부동)",울산광역시 동구,35.5390376,129.4262356,2019-09-18
"서울 마님죽",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1120 (서부동),울산광역시 동구 방어진순환도로 1120 (서부동),울산광역시 동구,35.539394,129.4265054,2019-09-18
"서울깍두기",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1122 (서부동),울산광역시 동구 방어진순환도로 1122 (서부동),울산광역시 동구,35.5394866,129.4262964,2019-09-18
"서울식당",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1124, 1층 (서부동)","울산광역시 동구 방어진순환도로 1124, 1층 (서부동)",울산광역시 동구,35.5395096,129.4261811,2019-09-18
"서울아지매전집",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1124-1 (서부동),울산광역시 동구 방어진순환도로 1124-1 (서부동),울산광역시 동구,35.5395394,129.4260989,2019-09-18
"서울짬뽕",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1125, 1층 (서부동)","울산광역시 동구 방어진순환도로 1125, 1층 (서부동)",울산광역시 동구,35.53923786,129.4255424,2019-09-18
"석다방",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1126 (서부동,(지상1층))","울산광역시 동구 방어진순환도로 1126 (서부동,(지상1층))",울산광역시 동구,35.5395946,129.4259245,2019-09-18
"석봉토스트(테라스파크점)",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1126, 3층 (서부동)","울산광역시 동구 방어진순환도로 1126, 3층 (서부동)",울산광역시 동구,35.5395946,129.425965,2019-09-18
"석산정",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1128 (서부동),울산광역시 동구 방어진순환도로 1128 (서부동),울산광역시 동구,35.5396221,129.4257365,2019-09-18
"선계찜닭세상",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1131 (서부동),울산광역시 동구 방어진순환도로 1131 (서부동),울산광역시 동구,35.5393017,129.4251673,2019-09-18
"선미식당",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1133 (서부동),울산광역시 동구 방어진순환도로 1133 (서부동),울산광역시 동구,35.5393115,129.4247959,2019-09-18
"선바위",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1138, 1층 (서부동)","울산광역시 동구 방어진순환도로 1138, 1층 (서부동)",울산광역시 동구,35.5399567,129.4241942,2019-09-18
"설빙(일산점)",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1140, 1층 (서부동)","울산광역시 동구 방어진순환도로 1140, 1층 (서부동)",울산광역시 동구,35.5398448,129.4239739,2019-09-18
"섬뜰",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1141 (서부동),울산광역시 동구 방어진순환도로 1141 (서부동),울산광역시 동구,35.5392925,129.4242674,2019-09-18
"섬진강식당",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1152 (서부동),울산광역시 동구 방어진순환도로 1152 (서부동),울산광역시 동구,35.5396863,129.4230514,2019-09-18
"성경막창",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1156 (서부동,(1층))","울산광역시 동구 방어진순환도로 1156 (서부동,(1층))",울산광역시 동구,35.5396932,129.4223877,2019-09-18
"성미다방",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1166, 1층 (서부동)","울산광역시 동구 방어진순환도로 1166, 1층 (서부동)",울산광역시 동구,35.5397271,129.4213429,2019-09-18
"성심돼지국밥",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1355, 1동 2층 (서부동)","울산광역시 동구 방어진순환도로 1355, 1동 2층 (서부동)",울산광역시 동구,35.527956,129.4069135,2019-09-18
"성안흑염소농장",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 400 해양사업부본부 6층 (방어동),울산광역시 동구 방어진순환도로 400 해양사업부본부 6층 (방어동),울산광역시 동구,35.496486,129.427971,2019-09-18
"성원분식",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 400, 지상동 1층 (방어동)","울산광역시 동구 방어진순환도로 400, 지상동 1층 (방어동)",울산광역시 동구,35.4827412,129.4060105,2019-09-18
"성원분식(방어동)",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 420 (방어동),울산광역시 동구 방어진순환도로 420 (방어동),울산광역시 동구,35.4889199,129.4138598,2019-09-18
"성진숯불갈비",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 442 (방어동),울산광역시 동구 방어진순환도로 442 (방어동),울산광역시 동구,35.4874968,129.4158526,2019-09-18
"세계로베이커리",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 442, 1층 (방어동)","울산광역시 동구 방어진순환도로 442, 1층 (방어동)",울산광역시 동구,35.4874968,129.4158526,2019-09-18
"세바퀴",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 442, 2층 (방어동)","울산광역시 동구 방어진순환도로 442, 2층 (방어동)",울산광역시 동구,35.4874968,129.4158526,2019-09-18
"세븐",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 454 (방어동),울산광역시 동구 방어진순환도로 454 (방어동),울산광역시 동구,35.4871378,129.4171775,2019-09-18
"세븐일레븐 울산 일산점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 456 (방어동, 1080-5)","울산광역시 동구 방어진순환도로 456 (방어동, 1080-5)",울산광역시 동구,35.4870900,129.4173364,2019-09-18
"세븐일레븐 울산일산문점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 490 (방어동),울산광역시 동구 방어진순환도로 490 (방어동),울산광역시 동구,35.4873914,129.4212108,2019-09-18
"세븐일레븐 울산현대중공업점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 492 (방어동),울산광역시 동구 방어진순환도로 492 (방어동),울산광역시 동구,35.4874479,129.4214686,2019-09-18
"세숫대야 냉면",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 501 (방어동),울산광역시 동구 방어진순환도로 501 (방어동),울산광역시 동구,35.4881612,129.4223561,2019-09-18
"세시봉",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 512 (방어동),울산광역시 동구 방어진순환도로 512 (방어동),울산광역시 동구,35.4882484,129.4235214,2019-09-18
"세시봉708090",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 555 (방어동),울산광역시 동구 방어진순환도로 555 (방어동),울산광역시 동구,35.4914432,129.4260629,2019-09-18
"세심헌",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 556 (방어동),울산광역시 동구 방어진순환도로 556 (방어동),울산광역시 동구,35.49138804,129.4264824,2019-09-18
"세원식당",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 559-2 (화정동),울산광역시 동구 방어진순환도로 559-2 (화정동),울산광역시 동구,35.4919455,129.4261897,2019-09-18
"소가네국밥",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 563 (화정동, 654-24)","울산광역시 동구 방어진순환도로 563 (화정동, 654-24)",울산광역시 동구,35.4922219,129.4262199,2019-09-18
"소나무",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 564 (화정동, 655-16)","울산광역시 동구 방어진순환도로 564 (화정동, 655-16)",울산광역시 동구,35.4921172,129.4266864,2019-09-18
"소나무갈비",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 565-1 (화정동,지상1층)","울산광역시 동구 방어진순환도로 565-1 (화정동,지상1층)",울산광역시 동구,35.4924184,129.4262950,2019-09-18
"소나타",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 567, 지하1층 (화정동)","울산광역시 동구 방어진순환도로 567, 지하1층 (화정동)",울산광역시 동구,35.4925412,129.4263446,2019-09-18
"소담송하한양숯불구이 남목점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 569, 지하1층 (화정동)","울산광역시 동구 방어진순환도로 569, 지하1층 (화정동)",울산광역시 동구,35.4926623,129.4263996,2019-09-18
"소담애",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 588 (화정동,지상1층)","울산광역시 동구 방어진순환도로 588 (화정동,지상1층)",울산광역시 동구,35.4941326,129.4272852,2019-09-18
"소리까페",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 606 (화정동,지상 3층)","울산광역시 동구 방어진순환도로 606 (화정동,지상 3층)",울산광역시 동구,35.4958002,129.4278073,2019-09-18
"소마카페",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 607, 1층 (화정동)","울산광역시 동구 방어진순환도로 607, 1층 (화정동)",울산광역시 동구,35.4960523,129.427221,2019-09-18
"소망식당",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 611, 1층 (화정동)","울산광역시 동구 방어진순환도로 611, 1층 (화정동)",울산광역시 동구,35.4963347,129.4272702,2019-09-18
"소문난 족발",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 613 (화정동),울산광역시 동구 방어진순환도로 613 (화정동),울산광역시 동구,35.4965515,129.4273787,2019-09-18
"소문난원조즉석김밥",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 613 (화정동),울산광역시 동구 방어진순환도로 613 (화정동),울산광역시 동구,35.4965515,129.4273787,2019-09-18
"소문난푸전포차",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 613 (화정동),울산광역시 동구 방어진순환도로 613 (화정동),울산광역시 동구,35.4965515,129.4273787,2019-09-18
"소반김밥",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 613 (화정동),울산광역시 동구 방어진순환도로 613 (화정동),울산광역시 동구,35.4965515,129.4273787,2019-09-18
"소세끼",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 613 (화정동,지상2층)","울산광역시 동구 방어진순환도로 613 (화정동,지상2층)",울산광역시 동구,35.4965515,129.4273787,2019-09-18
"소양강처녀",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 613, 1층 (화정동)","울산광역시 동구 방어진순환도로 613, 1층 (화정동)",울산광역시 동구,35.4965515,129.4273787,2019-09-18
"소우조우",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 614 (화정동,지상 1층)","울산광역시 동구 방어진순환도로 614 (화정동,지상 1층)",울산광역시 동구,35.4964859,129.4279705,2019-09-18
"속초 코다리찜",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 616 (화정동),울산광역시 동구 방어진순환도로 616 (화정동),울산광역시 동구,35.4966596,129.4278369,2019-09-18
"속초네어장 남목점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 616 (화정동),울산광역시 동구 방어진순환도로 616 (화정동),울산광역시 동구,35.4966596,129.4278369,2019-09-18
"속초빈대떡",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 616 (화정동),울산광역시 동구 방어진순환도로 616 (화정동),울산광역시 동구,35.4966596,129.4278369,2019-09-18
"속초생태탕",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 616 (화정동,(1층))","울산광역시 동구 방어진순환도로 616 (화정동,(1층))",울산광역시 동구,35.4966596,129.4278369,2019-09-18
"속초순대국",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 619 (일산동,지상1층)","울산광역시 동구 방어진순환도로 619 (일산동,지상1층)",울산광역시 동구,35.4970723,129.4274640,2019-09-18
"손맛튀김",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 621 (일산동),울산광역시 동구 방어진순환도로 621 (일산동),울산광역시 동구,35.4972339,129.4275197,2019-09-18
"손영환비빔국수 수제돈까스",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 621 (일산동),울산광역시 동구 방어진순환도로 621 (일산동),울산광역시 동구,35.4972339,129.4275197,2019-09-18
"솔",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 621, 2층 (일산동)","울산광역시 동구 방어진순환도로 621, 2층 (일산동)",울산광역시 동구,35.4972339,129.4275197,2019-09-18
"솔마루",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 623 (일산동),울산광역시 동구 방어진순환도로 623 (일산동),울산광역시 동구,35.4974325,129.4275684,2019-09-18
"솜사탕",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 623, 1층 (일산동)","울산광역시 동구 방어진순환도로 623, 1층 (일산동)",울산광역시 동구,35.4974325,129.4275684,2019-09-18
"송가네",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 623, 지상1층 (일산동)","울산광역시 동구 방어진순환도로 623, 지상1층 (일산동)",울산광역시 동구,35.4974325,129.4275684,2019-09-18
"송가네(다박솔)",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 624 (일산동),울산광역시 동구 방어진순환도로 624 (일산동),울산광역시 동구,35.4974518,129.4280713,2019-09-18
"송가네수정마루",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 624, 2층 (일산동)","울산광역시 동구 방어진순환도로 624, 2층 (일산동)",울산광역시 동구,35.4974518,129.4280713,2019-09-18
"송가네해물천지",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 624, 나동 1층 (일산동)","울산광역시 동구 방어진순환도로 624, 나동 1층 (일산동)",울산광역시 동구,35.4974518,129.4280713,2019-09-18
"송림식당",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 626 (일산동),울산광역시 동구 방어진순환도로 626 (일산동),울산광역시 동구,35.4976556,129.428216,2019-09-18
"쇠평농장백숙",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 626 (일산동,지상2층)","울산광역시 동구 방어진순환도로 626 (일산동,지상2층)",울산광역시 동구,35.4976556,129.4282160,2019-09-18
"쇼부라멘 현대백화점 울산동구점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 627, 1층 (일산동)","울산광역시 동구 방어진순환도로 627, 1층 (일산동)",울산광역시 동구,35.4978089,129.4275982,2019-09-18
"수",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 630 (일산동, 952-6외 1필지)","울산광역시 동구 방어진순환도로 630 (일산동, 952-6외 1필지)",울산광역시 동구,35.4978900,129.4282830,2019-09-18
"수경포차",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 633 (일산동),울산광역시 동구 방어진순환도로 633 (일산동),울산광역시 동구,35.49836246,129.4277192,2019-09-18
"수궁다방",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 634 (일산동),울산광역시 동구 방어진순환도로 634 (일산동),울산광역시 동구,35.4982178,129.428313,2019-09-18
"수내닭꼬치",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637 (일산동,(1층))","울산광역시 동구 방어진순환도로 637 (일산동,(1층))",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수넴분식",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637 (일산동,(8층))","울산광역시 동구 방어진순환도로 637 (일산동,(8층))",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수라",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637 (일산동,(지하1층))","울산광역시 동구 방어진순환도로 637 (일산동,(지하1층))",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수랏간",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637 (일산동,(지하1층))","울산광역시 동구 방어진순환도로 637 (일산동,(지하1층))",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수레",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637 (일산동,(지하2층))","울산광역시 동구 방어진순환도로 637 (일산동,(지하2층))",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수림횟집",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637 (일산동,(지하2층))","울산광역시 동구 방어진순환도로 637 (일산동,(지하2층))",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수수경양식",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637 (일산동,지하2층)","울산광역시 동구 방어진순환도로 637 (일산동,지하2층)",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수연 다방",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637, 1층 (일산동)","울산광역시 동구 방어진순환도로 637, 1층 (일산동)",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수잔다방",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637, 2층 (일산동)","울산광역시 동구 방어진순환도로 637, 2층 (일산동)",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수정 커피숍",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637, 2층 (일산동)","울산광역시 동구 방어진순환도로 637, 2층 (일산동)",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수정각",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637, 지하2층 (일산동, 홈플러스)","울산광역시 동구 방어진순환도로 637, 지하2층 (일산동, 홈플러스)",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수정다방",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 637, 홈플러스 지상동 2층 (일산동)","울산광역시 동구 방어진순환도로 637, 홈플러스 지상동 2층 (일산동)",울산광역시 동구,35.4989324,129.4274814,2019-09-18
"수정마루삼겹살",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 638 (일산동),울산광역시 동구 방어진순환도로 638 (일산동),울산광역시 동구,35.4986449,129.4283944,2019-09-18
"수평선 횟집",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 649 (일산동,4층,5층,6층)","울산광역시 동구 방어진순환도로 649 (일산동,4층,5층,6층)",울산광역시 동구,35.4997181,129.4281125,2019-09-18
"수협구내식당",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652 (일산동 E-106호,108호)","울산광역시 동구 방어진순환도로 652 (일산동 E-106호,108호)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"숙이네 밥집",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652 (일산동(C203호,204호)","울산광역시 동구 방어진순환도로 652 (일산동(C203호,204호)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"순곱이네",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652 (일산동, B116호)","울산광역시 동구 방어진순환도로 652 (일산동, B116호)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"순곱이네 울산 꽃바위점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652 (일산동, 945 B305호)","울산광역시 동구 방어진순환도로 652 (일산동, 945 B305호)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"순곱이네 전하점",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652 (일산동, 제1동 2층 B207호)","울산광역시 동구 방어진순환도로 652 (일산동, 제1동 2층 B207호)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"순두부패밀리",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652 (일산동,1동(B109,110,112,113호))","울산광역시 동구 방어진순환도로 652 (일산동,1동(B109,110,112,113호))",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"순례국밥",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652 (일산동,1동B106호(지상1층))","울산광역시 동구 방어진순환도로 652 (일산동,1동B106호(지상1층))",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"순수치킨",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652 (일산동,E204호 205호)","울산광역시 동구 방어진순환도로 652 (일산동,E204호 205호)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"순애정",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652, A204,A205호 (일산동)","울산광역시 동구 방어진순환도로 652, A204,A205호 (일산동)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"술바라기",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652, 제1동 B303호 (일산동)","울산광역시 동구 방어진순환도로 652, 제1동 B303호 (일산동)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"술이야",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652, 105호 (일산동 B105호)","울산광역시 동구 방어진순환도로 652, 105호 (일산동 B105호)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"숯불닭갈비촌",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652, 114호 (일산동, C동114호)","울산광역시 동구 방어진순환도로 652, 114호 (일산동, C동114호)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"숯총각 김사장",시설실내 또는 해당부지,울산광역시,동구,음식점,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652, 1동 1층 A111호 (일산동)","울산광역시 동구 방어진순환도로 652, 1동 1층 A111호 (일산동)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
